Country,Capital,GDP (Billion USD),Population,Currency
Albania,Tirana,36.3,2845955,Lek
Andorra,Andorra la Vella,3.2,77265,Euro
Austria,Vienna,477.6,8773686,Euro
Belarus,Minsk,63.1,9408400,Belarusian Ruble
Belgium,Brussels,533.7,11589623,Euro
Bosnia & Herzegovina,Sarajevo,16.4,3280819,Convertible Mark
Bulgaria,Sofia,143.5,6951482,Bulgarian Lev
Croatia,Zagreb,60.1,4076246,Kuna
Cyprus,Nicosia,24.9,1207359,Euro
Czech Republic,Prague,396.3,10693939,Czech Koruna
Denmark,Copenhagen,347.2,5813298,Danish Krone
Estonia,Tallinn,38.5,1325648,Euro
Finland,Helsinki,553.6,5540720,Euro
France,Paris,2715.5,67081000,Euro
Germany,Berlin,4212.3,83149300,Euro
Greece,Athens,209.9,10423054,Euro
Hungary,Budapest,167.9,9773771,Forint
Iceland,Reykjavik,27.0,356991,Icelandic Króna
Ireland,Dublin,382.5,4937786,Euro
Italy,Rome,2003.2,60317116,Euro
Kosovo,Pristina,7.9,1795666,Euro
Latvia,Riga,56.3,1886198,Euro
Liechtenstein,Vaduz,6.4,38749,Swiss Franc
Lithuania,Vilnius,85.2,2722289,Euro
Luxembourg,Luxembourg City,71.7,613894,Euro
Malta,Valletta,14.3,514564,Euro
Moldova,Chisinau,11.7,2640438,Moldovan Leu
Monaco,Monaco,7.6,38964,Euro
Montenegro,Podgorica,5.5,622359,Euro
Netherlands,Amsterdam,902.3,17282163,Euro
North Macedonia,Skopje,12.9,2083374,Macedonian Denar
Norway,Oslo,1067.0,5391369,Norwegian Krone
Poland,Warsaw,1154.0,38433600,Polish Złoty
Portugal,Lisbon,372.7,10196709,Euro
Romania,Bucharest,491.4,19237691,Romanian Leu
Russia,Moscow,4019.0,146171015,Russian Ruble
San Marino,San Marino,2.0,33931,Euro
Serbia,Belgrade,51.2,6963764,Serbian Dinar
Slovakia,Bratislava,105.0,5459642,Euro
Slovenia,Ljubljana,63.5,2078938,Euro
Spain,Madrid,1778.0,47431256,Euro
Sweden,Stockholm,538.0,10438919,Swedish Krona
Switzerland,Bern,703.0,8372000,Swiss Franc
Ukraine,Kyiv,131.0,44246156,Ukrainian Hryvnia
United Kingdom,London,2829.0,66796807,Pound Sterling
